Ingredient      :        Weight 
caster sugar : 33.92679359870039
plain flour : 26.164699816027802
double cream : 24.47528017761138
golden caster : 23.665605324844833
icing sugar : 23.56736189792369
garlic clove : 20.5616648091688
muscovado sugar : 15.157442191497505
butter softened : 14.33284930512973
thinly sliced : 13.434276096688432
unsalted butter : 13.02225291911623
dark chocolate : 12.759546623175648
wine vinegar : 12.328195823929985
ground cinnamon : 11.836742570209484
large egg : 11.655002686716756
zest juice : 11.596074513899923
white wine : 11.50957441262325
plus dusting : 11.200198008258184
vanilla extract : 11.146409447587125
brown sugar : 11.135413088674557
light muscovado : 10.955134306343428
self raising : 10.824187358979268
raising flour : 10.782791060584968
plus greasing : 10.619582545840558
chicken stock : 10.54995369400423
clove crushed : 10.449428841281208
grated zest : 10.238750697266983
mixed spice : 9.882048828461663
cinnamon stick : 9.826696050610387
flour plus : 9.761752979175906
baking powder : 9.575576364877861
juice lemon : 9.218973352201182
brussels sprout : 8.760995074060489
egg beaten : 8.733133620281524
streaky bacon : 8.561729322633997
ground almond : 8.527966748756377
clear honey : 8.485596404076897
good quality : 8.45323965947161
sugar plus : 8.389880240431221
butter plus : 8.36841543181027
onion sliced : 8.300531309453822
thyme leaf : 8.263535749988357
zest orange : 8.260474585826856
zest lemon : 8.076860974104306
ground ginger : 7.923132778011525
dried cranberry : 7.616847676526653
maple syrup : 7.6098421312007485
lemon juice : 7.543426313041776
large onion : 7.530992783461033
golden syrup : 7.528255046680915
puff pastry : 7.3514946689895995
wholegrain mustard : 7.346843934074862
small bunch : 7.334888420314011
star anise : 7.186835264657585
fresh frozen : 7.16753473144454
vegetable stock : 7.055420180052844
plus serve : 6.950395768563531
butter melted : 6.935057863546623
sugar dusting : 6.877052007208772
freshly grated : 6.803062087205156
sugar large : 6.6841164198277
flaked almond : 6.615035320411994
soft brown : 6.589275376256462
apple peeled : 6.546330918694762
white chocolate : 6.537824204026434
knob butter : 6.475600035271045
thyme sprig : 6.473124535072162
small handful : 6.448344956228847
orange juice : 6.370504009714113
frozen cranberry : 6.356445501846716
peeled cored : 6.231054584465458
small pack : 6.134358043381125
grated nutmeg : 6.125389597761781
light brown : 6.070506759090989
cocoa powder : 6.067324945597459
bicarbonate soda : 6.054598831265656
mari piper : 5.970117673900321
dijon mustard : 5.943162595544985
juice orange : 5.929455258515979
flour dusting : 5.909574844108866
dried apricot : 5.908431948446099
dark muscovado : 5.889335563862861
plus little : 5.853880818141382
flour baking : 5.8113100082383
serve optional : 5.773989544631382
leaf picked : 5.653649277862263
small onion : 5.599796689010847
white bread : 5.4801556178746225
cider vinegar : 5.450944692684173
spring onion : 5.395562647257052
juice lime : 5.316331217423093
black peppercorn : 5.28922224312433
flour ground : 5.266958383465993
glac cherry : 5.264095966063564
sage leaf : 5.212046569688317
ground clove : 5.2104242762605635
pinch ground : 5.183622411466276
go well : 5.163376835303158
bramley apple : 5.134819390644449
potato peeled : 5.085394888209205
virgin olive : 5.08369970102348
smoked salmon : 5.03575046896877
whole milk : 4.993033020220411
small piece : 4.9839941319157495
salted butter : 4.943177210530218
ready roll : 4.934405070468728
sugar vanilla : 4.907390618514263
handful parsley : 4.9070226440403495
onion halved : 4.902345455249703
stem ginger : 4.893432850989686
white breadcrumb : 4.856425990554216
milk chocolate : 4.855886269249453
dried fruit : 4.820237069127879
chocolate broken : 4.776806296688027
food colouring : 4.760692389939962
ready rolled : 4.667419817096415
granulated sugar : 4.639177024147694
room temperature : 4.6368899141339295
pack ready : 4.543476184561189
softened butter : 4.539718513473184
sprout trimmed : 4.533009874572549
balsamic vinegar : 4.510122051580977
mixed peel : 4.497783151079771
smoked streaky : 4.490831354827359
softened plus : 4.488269368504516
thickly sliced : 4.456983227667814
butter onion : 4.443557690016755
cinnamon ground : 4.432389929192954
vegetarian alternative : 4.427679291748996
eating apple : 4.415008801843478
olive onion : 4.400091780660394
sesame seed : 4.319962102642833
carton double : 4.29141087246685
shortcrust pastry : 4.2846256454492915
orange zested : 4.26986430090047
ready made : 4.255052297124345
grating nutmeg : 4.244727248764671
light soft : 4.241947161799213
olive large : 4.216923446565063
cream cheese : 4.190127178697518
olive plus : 4.181687092117149
sugar sifted : 4.170780754071836
butter greasing : 4.16876809179611
parsnip peeled : 4.151479241790694
large orange : 4.148702667471582
floury potato : 4.144597448025337
mixed dried : 4.1263971342458365
sugar butter : 4.061485482355167
white caster : 4.061337610418409
full milk : 4.01715816351768
soured cream : 3.9935446855391312
sliced butter : 3.9858425277319323
onion thinly : 3.935168704447684
king edward : 3.916491329729114
butternut squash : 3.901126025004875
sliced garlic : 3.874652920368684
grated parmesan : 3.8693348854134704
gluten free : 3.8681442970210025
rasher smoked : 3.8674029906965943
blanched almond : 3.8539627096257765
ginger ground : 3.8260261095607206
butter small : 3.809832521877804
onion garlic : 3.7773467428402725
flat leaf : 3.7648705410502297
natural yogurt : 3.76406559806283
fondant icing : 3.74980139105611
cold butter : 3.7439249584915086
demerara sugar : 3.7351000892605053
fresh white : 3.73291076554836
medium egg : 3.718753978959395
sugar ground : 3.7177623564652778
rolled puff : 3.7061614859768084
leaf parsley : 3.683464275271189
chilli deseeded : 3.6696078237667242
cream icing : 3.6516785441683717
lemon zested : 3.641054223168794
english mustard : 3.612710257694672
rasher streaky : 3.576777318267999
cooked chestnut : 3.5660430979344877
cardamom pod : 3.549111075208805
brown soft : 3.5426949891377646
goat cheese : 3.5387236620116345
clove sliced : 3.5198274158501235
peeled sliced : 3.509201645885779
cayenne pepper : 3.4974893038553345
egg separated : 3.490691635312382
carrot peeled : 3.473725440039921
soft sugar : 3.4555071299056177
orange zest : 3.4544826988562236
apple juice : 3.445395365071932
butter golden : 3.4352841014025337
dried yeast : 3.40947764136068
fresh thyme : 3.405942061164419
butter diced : 3.3981606162747213
parmesan vegetarian : 3.3909575206303657
leaf plus : 3.381314825035099
butter plain : 3.378977693236806
desiccated coconut : 3.373370961061669
cabbage shredded : 3.3578007177895213
large carrot : 3.345306155980524
left whole : 3.339774277008063
coriander seed : 3.315688259891886
sugar golden : 3.2669082818886825
